verbatim_name,canonical_name,resolved_taxon_id,accepted_canonical_name,source,confidence,gbif_match_type,notes
"Hoplitis albifrons (Kirby, 1837)",hoplitis albifrons,199150,hoplitis albifrons,exact,1.0,,
Hoplitis hypocrita,hoplitis hypocrita,361559,hoplitis hypocrita,exact,1.0,,
Hoplitis orthognatha,hoplitis orthognatha,711280,hoplitis orthognatha,exact,1.0,,
Hoplitis producta,hoplitis producta,199139,hoplitis producta,exact,1.0,,
"Hoplitis producta (Cresson, 1864)",hoplitis producta,199139,hoplitis producta,exact,1.0,,
Hoplitis spoliata,hoplitis spoliata,199138,hoplitis spoliata,exact,1.0,,
Hoplitis viridimicans,hoplitis viridimicans,1339207,hoplitis viridimicans,exact,1.0,,
"Hylaeus affinis (Smith, 1853)",hylaeus affinis,199054,hylaeus affinis,exact,1.0,,
"Hylaeus basalis (Smith, 1853)",hylaeus basalis,199052,hylaeus basalis,exact,1.0,,
Hylaeus coloradensis,hylaeus coloradensis,361469,hylaeus coloradensis,exact,1.0,,
Hylaeus episcopalis,hylaeus episcopalis,271747,hylaeus episcopalis,exact,1.0,,
Hylaeus granulatus,hylaeus granulatus,361478,hylaeus granulatus,exact,1.0,,
"Hylaeus leptocephalus (Morawitz, 1870)",hylaeus leptocephalus,199050,hylaeus leptocephalus,exact,1.0,,
Hylaeus nevadensis,hylaeus nevadensis,361479,hylaeus nevadensis,exact,1.0,,
"Hylaeus wootoni (Cockerell, 1896)",hylaeus wootoni,221919,hylaeus wootoni,exact,1.0,,
Lasioglossum  olympiae,lasioglossum olympiae,459098,lasioglossum olympiae,exact,1.0,,
Lasioglossum  sisymbrii,lasioglossum sisymbrii,222681,lasioglossum sisymbrii,exact,1.0,,
"Lasioglossum aberrans (Crawford, 1903)",lasioglossum aberrans,308914,lasioglossum aberrans,exact,1.0,,
"Lasioglossum albipenne (Robertson, 1890)",lasioglossum albipenne,199111,lasioglossum albipenne,exact,1.0,,
Lasioglossum albohirtum,lasioglossum albohirtum,453635,lasioglossum albohirtum,exact,1.0,,
"Lasioglossum anhypops McGinley, 1986",lasioglossum anhypops,453650,lasioglossum anhypops,exact,1.0,,
"Lasioglossum colatum (Vachal, 1904)",lasioglossum colatum,222674,lasioglossum colatum,exact,1.0,,
"Lasioglossum cooleyi (Crawford, 1906)",lasioglossum cooleyi,459084,lasioglossum cooleyi,exact,1.0,,
"Lasioglossum cressonii (Robertson, 1890)",lasioglossum cressonii,199102,lasioglossum cressonii,exact,1.0,,
Lasioglossum egregium,lasioglossum egregium,361492,lasioglossum egregium,exact,1.0,,
Lasioglossum helianthi,lasioglossum helianthi,1426170,lasioglossum helianthi,exact,1.0,,
Lasioglossum heterorhinum,lasioglossum heterorhinum,271600,lasioglossum heterorhinum,exact,1.0,,
"Lasioglossum incompletum (Crawford, 1907)",lasioglossum incompletum,271464,lasioglossum incompletum,exact,1.0,,
Lasioglossum inconditum,lasioglossum inconditum,459094,lasioglossum inconditum,exact,1.0,,
"Lasioglossum kincaidii (Cockerell, 1898)",lasioglossum kincaidii,271509,lasioglossum kincaidii,exact,1.0,,
Lasioglossum knereri,lasioglossum knereri,459095,lasioglossum knereri,exact,1.0,,
Lasioglossum laevissimum,lasioglossum laevissimum,199097,lasioglossum laevissimum,exact,1.0,,
Lasioglossum macroprosopum,lasioglossum macroprosopum,459083,lasioglossum macroprosopum,exact,1.0,,
"Lasioglossum mellipes (Crawford, 1907)",lasioglossum mellipes,309073,lasioglossum mellipes,exact,1.0,,
Lasioglossum nevadense,lasioglossum nevadense,271467,lasioglossum nevadense,exact,1.0,,
"Lasioglossum nevadense (Crawford, 1907)",lasioglossum nevadense,271467,lasioglossum nevadense,exact,1.0,,
"Lasioglossum occultum (Vachal, 1904)",lasioglossum occultum,1339253,lasioglossum occultum,exact,1.0,,
Lasioglossum olympiae,lasioglossum olympiae,459098,lasioglossum olympiae,exact,1.0,,
"Lasioglossum olympiae (Cockerell, 1898)",lasioglossum olympiae,459098,lasioglossum olympiae,exact,1.0,,
"Lasioglossum orthocarpi (Michener, 1936)",lasioglossum orthocarpi,1339030,lasioglossum orthocarpi,exact,1.0,,
