"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"ancylandrena atoposoma","Fabaceae","Fabaceae : Lupinus L.","AZ-CA","Rare"
"ancylandrena koebelei","Fabaceae","Fabaceae : Dalea L.","AZ-CA-NV-UT","Rare"
"ancylandrena larreae","","Larrea Cav.","AZ-CA-NM-NV-UT","Uncommon"
"ancylandrena rozeni","Fabaceae","Fabaceae : Coursetia DC.","AZ","Rare"
"ancyloscelis sejunctus","","Ipomoea L.","AZ-CO","Rare"
"andrena ablegata","","Agoseris Raf.","CA-CO-ID-OR-UT-WY","Rare"
"andrena accepta","Asteraceae","Asteraceae : Helianthus L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WY","Uncommon"
"andrena agoseridis","","Agoseris Raf.","CA","Rare"
"andrena alamonis","","Lesquerella S. Watson","AZ-NM","Rare"
"andrena aliciae","Asteraceae","Asteraceae : Bidens L. , Helianthus L. , Rudbeckia L.","AZ-NM","Rare"
"andrena aliciarum","Asteraceae","Asteraceae : Hymenothrix A. Gray , Pectis L.","AZ-NM","Rare"
"andrena anatolis","","Camissonia Link","CA","Rare"
"andrena andrenoides","","Salix L.","CO-ID-MT-NM-UT-WA-WY","Rare"
"andrena annectens","","Salix L.","CA","Rare"
"andrena anograe","","Oenothera L.","CO-NM-WY","Rare"
"andrena apacheorum","Asteraceae","Asteraceae : Cirsium Mill. , Ericameria Nutt. , Erigeron L. , Solidago L.","AZ-CA-CO-ID-NM-OR-UT-WY","Uncommon-Rare"
"andrena apasta","","Camissonia Link","CA","Rare"
"andrena arabis","","Arabis L. , Cardamine L.","AZ-NM","Rare"
"andrena arctostaphylae","","Arctostaphylos Adans.","CA-UT","Rare"
"andrena ardis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Gutierrezia Lag.","CO-NM","Rare"
"andrena asteris","","Eurybia (Cass.) Cass. , Solidago L. , Symphyotrichum Nees","WY","Rare"
"andrena astragali","","Zigadenus Michx. ( Toxicoscordion Rydb.)","AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon"
"andrena aurihirta","Asteraceae","Asteraceae : Baccharis L. , Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag. , Isocoma Nutt. , Solidago L.","CA","Rare"
"andrena auripes","Asteraceae","Asteraceae : ?","AZ","Rare"
"andrena baeriae","","Lasthenia Cass.","CA","Rare"
"andrena balsamorhizae","Asteraceae","Asteraceae : Balsamorhiza Nutt. , Enceliopsis (A. Gray) A. Nelson","AZ-NV","Rare"
"andrena barberi","Asteraceae","Asteraceae : Bidens L. , Heterotheca Cass. , Rudbeckia L. , Solidago L.","AZ-NM","Rare"
"andrena bendensis","Asteraceae","Asteraceae : Ericameria Nutt.","CA-NV-OR-UT","Rare"
"andrena berberidis","","Ribes L. ( Mahonia Nutt. ?)","OR-UT-WA-WY","Uncommon-Rare"
"andrena berkeleyi","Asteraceae","Asteraceae : Engelmannia A. Gray ex Nutt. , Hymenoxys Cass. , Tetraneuris Greene","AZ-CA-CO-NM","Rare"
"andrena bernardina","","Clarkia Pursh","CA-UT","Rare"
"andrena birtwelli","","Potentilla L.","CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"andrena biscutellata","Asteraceae","Asteraceae : Gaillardia Foug.","CO-NM","Rare"
"andrena blaisdelli","","Camissonia Link","CA","Rare"
"andrena blennospermatis","Asteraceae","Asteraceae : Blennosperma Less. , Lasthenia Cass.","CA","Rare"
"andrena bocensis","Asteraceae","Asteraceae : Solidago L.","CA-OR","Rare"
"andrena boronensis","","Camissonia Link","CA","Rare"
"andrena bradleyi","Ericaceae","Ericaceae : Kalmia L. , Vaccinium L.","CO-WY","Rare"
"andrena brevipalpis","","Rhus L.","AZ-CO","Rare"
"andrena brooksi","Asteraceae","Asteraceae : Simsia Pers.","AZ-NM","Rare"
"andrena bucculenta","","Salix L.","CA","Rare"
"andrena caerulea","","Ranunculus L.","CA-ID-OR-NV-UT-WA","Common-Uncommon"
"andrena caliginosa","","Ribes L.","CA","Rare"
"andrena calvata","Asteraceae","Asteraceae : Viguiera Kunth","CA-AZ-NM","Rare"
"andrena camissoniae","","Camissonia Link","CA","Rare"
"andrena campanulae","","Campanula L.","CO-UT-WY","Rare"
"andrena canadensis","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Eurybia (Cass.) Cass. , Grindelia Willd. , Gutierrezia Lag. , Solidago L. , Symphyotrichum Nees","AZ-CA-CO-MT-NM-UT-WY","Uncommon-Rare"
"andrena candidiformis","","Ceanothus L. , Lomatium Raf.","AZ-CA-CO-ID-NV-OR-UT-WA","Uncommon"
"andrena capricornis","Brassicaceae","Brassicaceae : Descurainia Webb & Bethel. , Lepidium L. , Lesquerella S. Watson , Physaria (Nutt. ex Torr. & A. Gray) A. Gray","AZ-CA-CO-ID-NM-NV-UT","Uncommon-Rare"
"andrena chalybaea","","Camissonia Link","CA","Rare"
"andrena chalybioides","","Agoseris Raf.","CA-OR-UT","Uncommon-Rare"
"andrena chapmanae","","Cryptantha Lehm. ex G. Don , Hackelia Opiz","CA-ID-NV-OR-UT-WA","Uncommon-Rare"
"andrena cheyennorum","","Symphoricarpos Duham.","CA-CO-ID-UT-WA-WY","Uncommon-Rare"
"andrena chlorosoma","Asteraceae","Asteraceae : Agoseris Raf.","CA","Rare"
"andrena chromotricha","Asteraceae","Asteraceae : Grindelia Willd. , Helianthus L. , Solidago L. , Symphyotrichum Nees","AZ-CA-CO-NM-UT","Rare"
"andrena chylismiae","","Camissonia Link","CA-NV-OR-UT-WY","Rare"
"andrena citrinihirta","Asteraceae","Asteraceae : Baccharis L. , Ericameria Nutt. , Euthamia Nutt. ex Cass. , Isocoma Nutt. , Solidago L.","CA-OR","Rare"
"andrena clarkella","","Salix L.","CO","Rare"
"andrena cleodora","","Ceanothus L.","AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY","Common-Uncommon"
"andrena colletina","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Solidago L.","AZ-CA-CO-ID-NM-NV-OR-UT-WY","Uncommon-Rare"
"andrena columbiana","Asteraceae","Asteraceae : Heterotheca Cass. , Solidago L.","CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon"
"andrena compositarum","Asteraceae","Asteraceae : Layia Hook. & Arn. ex DC.","CA","Rare"
"andrena concinnula","","Salix L.","AZ-CA-OR","Uncommon-Rare"
"andrena costillensis","Asteraceae","Asteraceae : Agoseris Raf. , Chrysothamnus Nutt. , Erigeron L. , Grindelia Willd. , Heliomeris Nutt. , Heterotheca Cass. ,","AZ-CA-CO-ID-MT-NM-UT-WY","Uncommon"
"andrena cragini","","Amorpha L.","CO","Rare"
"andrena cristata","","Arctostaphylos Adans.","AZ-CA-CO-NV-OR-UT-WA","Uncommon-Rare"
"andrena crudeni","","Nemophila Nutt.","CA","Uncommon-Rare"
"andrena cryptanthae","","Cryptantha Lehm. ex G. Don","CA","Uncommon-Rare"
"andrena cuneilabris","","Ranunculus L.","CA-OR","Uncommon"
"andrena cyanosoma","","Camissonia Link","CA-NM","Rare"
"andrena decolorata","","Camissonia Link","CA","Rare"
"andrena deserticola","","Camissonia Link","CA","Rare"
"andrena dissimulans","","Lasthenia Cass.","CA","Rare"
"andrena dissona","","Lasthenia Cass. , Layia Hook. & Arn. ex DC.","CA","Rare"
"andrena distans","","Geranium L.","CO","Rare"
"andrena duboisi","Asteraceae","Asteraceae : Blennosperma Less. , Layia Hook. & Arn. ex DC. , Lasthenia Cass.","CA","Rare"
"andrena eothina","","Camissonia Link","CA","Rare"
"andrena erythrogaster","","Salix L.","CO-ID-MT-NM-UT-WA-WY","Common-Uncommon"
"andrena escondida","","Layia Hook. & Arn. ex DC.","CA","Rare"
"andrena evoluta","","Agoseris Raf.","AZ-CA-ID-MT-NV-OR-UT-WA-WY","Uncommon"
"andrena flandersi","","Camissonia Link","CA","Rare"
"andrena foxii","","Camissonia Link","CA","Rare"
"andrena fragilis","","Cornus (Swida) L.","CO-NM","Rare"
"andrena frigida","","Salix L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common"
"andrena fulvipennis","","Heterotheca Cass.","AZ","Rare"
"andrena furva","","Camissonia Link , Clarkia Pursh","CA","Rare"
"andrena gardineri","","Gutierrezia Lag. , Packera Á. Löve & D. Löve , Senecio L.","CA-CO-NM-WY","Uncommon"
"andrena geranii","","Hydrophyllum L.","CO-UT-WY","Rare"
"andrena gibberis","","Salix L.","CA-NV-UT","Rare"
"andrena gnaphalii","","Agoseris Raf.","CA-OR","Rare"
"andrena grindeliae","Asteraceae","Asteraceae : Baccharis L. , Grindelia Willd. , Hemizonia DC.","CA","Rare"
"andrena haynesi","","Helianthus L.","AZ-CO-NM-UT-WY","Uncommon"
"andrena helianthi","","Helianthus L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"andrena helianthiformis","","Echinacea Moench","MT","Rare"
"andrena hermosa","","Lasthenia Cass.","CA","Rare"
"andrena hirticincta","Asteraceae","Asteraceae : Euthamia Nutt. ex. Cass. , Grindelia Willd. , Solidago L. , Symphyotrichum Nees","CO-ID-MT-NM-UT-WY","Common-Uncommon"
"andrena illinoiensis","","Salix L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"andrena inculta","","Encelia Adans.","NM","Rare"
"andrena irrasus","Asteraceae","Asteraceae : Amphiachyris (A. DC.) Nutt. , Chrysothamnus Nutt.","NM-WY","Rare"
"andrena ishii","","Salix L.","AZ-CA","Rare"
"andrena isocomae","Asteraceae","Asteraceae : Gutierrezia Lag. , Heterotheca Cass. , Isocoma Nutt. , Senecio L. , Solidago L.","CA","Rare"
"andrena jessicae","","Lesquerella S. Watson","AZ-NM","Rare"
"andrena kristina","Brassicaceae","Brassicaceae : Lepidium L. , Lesquerella S. Watson , Physaria (Nutt. ex Torr. & A. Gray) A. Gray","CO-UT","Rare"
"andrena labergei","","Salix L.","AZ-CA-NM","Rare"
"andrena lativentris","Asteraceae","Asteraceae : Blennosperma Less. , Layia Hook. & Arn. ex DC. , Lasthenia Cass.","CA","Rare"
"andrena layiae","","Lasthenia Cass.","AZ-CA","Rare"
"andrena levipes","Polemoniaceae","Polemoniaceae : Leptosiphon Benth. , Linanthus Benth.","AZ-CA-CO-OR","Rare"
"andrena lewisorum","","Clarkia Pursh","CA","Rare"
"andrena linsleyana","","Oenothera L.","UT","Rare"
"andrena linsleyi","","Oenothera L.","AZ-CA-NV","Rare"
"andrena lupinorum","Fabaceae","Fabaceae","CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"andrena macoupinensis","","Salix L.","AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY","Common-Uncommon"
"andrena macrocephala","","Nemophila Nutt.","CA","Uncommon-Rare"
"andrena macswaini","","Camissonia Link","AZ-CA","Rare"
"andrena malacothricidis","","Malacothrix DC.","CA","Rare"
"andrena mariae","","Salix L.","CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon"
"andrena melanochroa","","Potentilla L.","AZ-CA-CO-ID-MT-OR-UT-WA-WY","Uncommon"
"andrena mentzeliae","","Mentzelia L.","CA-CO-NM","Rare"
"andrena mesillae","Brassicaceae","Brassicaceae : Lesquerella S. Watson , Physaria (Nutt. ex Torr. & A. Gray) A. Gray","AZ-CO-MT-NM","Rare"
"andrena microchlora","","Lomatium Raf.","AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon-Rare"
"andrena mojavensis","","Camissonia Link","CA","Rare"
"andrena monogonoparia","","Arctostaphylos Adans.","CA-NV","Rare"
"andrena monticola","Asteraceae","Asteraceae : Cirsium Mill. , Heliopsis Pers.","AZ","Rare"
"andrena nemophilae","","Nemophila Nutt.","CA","Uncommon-Rare"
"andrena neomexicana","","Gutierrezia Lag. ( Eriogonum Michx. ?)","AZ-NM","Rare"
"andrena nevadae","","Camissonia Link","NV","Rare"
"andrena nevadensis","","Salix L.","CA-ID-NV-OR-UT-WA","Uncommon-Rare"
"andrena nigra","","Phacelia Juss.","AZ-CA","Rare"
"andrena nigrae","","Salix L.","CO-ID-MT-UT-WA-WY","Uncommon-Rare"
"andrena nigripes","","Nemophila Nutt.","CA","Rare"
"andrena nothocalaidis","","Agoseris Raf.","CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon"
"andrena nothoscordi","","Nothoscordum Kunth","CO","Rare"
"andrena nubecula","","Solidago L.","AZ-CO-ID-MT-NM-OR-UT-WA-WY","Uncommon"
"andrena oenotherae","","Camissonia Link","CA","Rare"
"andrena ofella","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Nutt., Gutierrezia Lag. , Haplopappus Cass.","AZ-NM","Rare"
"andrena olivacea","Asteraceae","Asteraceae : Baileya Harv. & A. Gray ex A. Gray , Geraea Torr. & A. Gray , Malacothrix DC. , Rafinesquia Nutt.","AZ-CA-NM-NV","Rare"
"andrena omninigra","","Clarkia Pursh","CA","Rare"
"andrena orthocarpi","","Lasthenia Cass.","CA-OR-WA","Uncommon-Rare"
"andrena osmioides","","Cryptantha Lehm. ex G. Don","AZ-CA","Uncommon-Rare"
"andrena pallidiscopa","","Lomatium Raf.","AZ-CA-CO-ID-NV-OR-UT-WA-WY","Rare"
"andrena palpalis","","Phacelia Juss.","AZ-CA-NM-NV-UT","Uncommon-Rare"
"andrena papagorum","","Salix L.","AZ-CA-OR-UT","Rare"
"andrena parachalybea","","Camissonia Link","AZ-CA","Rare"
"andrena pecosana","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Grindelia Willd. , Gutierrezia Lag. , Haplopappus Cass. , Heliomeris Nutt. , Heterotheca Cass. , Viguiera Kunth , Xanthisma DC.","AZ-CO-NM-UT","Rare"
"andrena pectidis","","Pectis L.","NM","Rare"
"andrena pensilis","","Lasthenia Cass.","CA-OR","Rare"
"andrena perarmata","","Salix L.","CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon"
"andrena perpunctata","","Heterotheca Cass. ,","AZ-NM","Rare"
"andrena persimulata","","Cornus (Swida) L.","CA-CO-UT-WY","Rare"
"andrena piperi","Brassicaceae","Brassicaceae : Descurainia Webb & Bethel. , Lepidium L. , Lesquerella S. Watson , Physaria (Nutt. ex Torr. & A. Gray) A. Gray","AZ-CA-CO-ID-MT-NV-OR-UT-WA","Uncommon-Rare"
"andrena plana","","Trifolium L.","CA-OR","Uncommon-Rare"
"andrena platyparia","","Cornus (Swida) L.","CA-OR-UT","Rare"
"andrena porterae","","Ribes L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"andrena prima","Brassicaceae","Brassicaceae : Lepidium L. , Lesquerella S. Watson , Physaria (Nutt. ex Torr. & A. Gray) A. Gray","AZ-CA-CO-NM-UT","Uncommon-Rare"
"andrena primulifrons","","Lesquerella S. Watson","AZ-NM-NV","Rare"
"andrena principalis","","Arctostaphylos Adans.","AZ-CA","Rare"
"andrena pulverea","","Limnanthes R. Br.","CA","Rare"
"andrena puthua","Asteraceae","Asteraceae : Lasthenia Cass. , Wyethia Nutt.","CA","Rare"
"andrena quintilis","","Amorpha L.","CO-UT","Rare"
"andrena ramaleyi","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt.","AZ-CO-ID-NM-NV-WY","Rare"
"andrena raveni","","Camissonia Link","CA-ID-NV-OR-UT-WA","Rare"
"andrena reflexa","Asteraceae","Asteraceae : Gutierrezia Lag. , Verbesina L.","NM","Rare"
"andrena ribblei","","Polemonium L.","CA-CO-OR-UT-WA-WY","Rare"
"andrena robervalensis","Asteraceae","Asteraceae","CO-WY","Rare"
"andrena rozeni","","Camissonia Link","AZ-CA-NV","Rare"
"andrena rubrotincta","","Camissonia Link","AZ-CA-NV-UT","Rare"
"andrena rudbeckiae","","Ratibida Raf. , Rudbeckia L.","CO","Rare"
"andrena runcinatae","Asteraceae","Asteraceae : Agoseris Raf. , Cirsium Mill. , Grindelia Willd. , Lactuca L. , Ratibida Raf.","CO-MT","Rare"
"andrena salicifloris","","Salix L.","CA-CO-ID-MT-OR-UT-WA-WY","Uncommon-Rare"
"andrena salictaria","","Salix L.","CO-ID-MT-NM-UT-WA-WY","Uncommon-Rare"
"andrena scurra","Brassicaceae","Brassicaceae : Lepidium L. , Lesquerella S. Watson","CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon-Rare"
"andrena scutellinitens","Asteraceae","Asteraceae : Achillea L. , Anaphalis DC. , Eurybia (Cass.) Cass. , Erigeron L. , Senecio L. , Solidago L.","CA-CA-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"andrena semipunctata","","Salix L.","AZ-CA-ID-NM-NV-OR-UT-WA","Rare"
"andrena sigmundi","","Salix L.","CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon"
"andrena simulata","Asteraceae","Asteraceae : Viguiera Kunth","AZ-NM-CO","Rare"
"andrena sonorensis","Asteraceae","Asteraceae : Ericameria Nutt. , Gutierrezia Lag.","AZ-NM","Rare"
"andrena sperryi","","Camissonia Link","CA","Rare"
"andrena sphaeralceae","","Sphaeralcea A. St.-Hil.","AZ-CA-CO-NM-NV-UT","Uncommon-Rare"
"andrena stagei","","Oenothera L.","WY","Rare"
"andrena striatifrons","","Salix L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"andrena suavis","","Ranunculus L.","CA-OR","Uncommon-Rare"
"andrena subapasta","","Arenaria L.","CA","Rare"
"andrena subaustralis","","Salix L.","AZ-CA-CO-ID-NM-NV-OR-UT-WA","Rare"
"andrena subchalybea","","Lasthenia Cass.","CA-OR-UT-WA","Uncommon-Rare"
"andrena sublayiae","","Lasthenia Cass.","CA-NV","Rare"
"andrena submaura","","Ribes L.","CA","Rare"
"andrena submoesta","","Lasthenia Cass.","AZ-CA","Uncommon-Rare"
"andrena subnigripes","","Nemophila Nutt.","CA","Rare"
"andrena sulcata","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt.","CA-ID-OR-UT-WA-WY","Rare"
"andrena surda","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Gutierrezia Lag. , Machaeranthera Nees , Solidago L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Common-Uncommon"
"andrena tegularis","Asteraceae","Asteraceae : Heliopsis Pers.","AZ-NM","Rare"
"andrena timberlakei","","Cryptantha Lehm. ex G. Don","CA","Rare"
"andrena tonkaworum","Asteraceae","Asteraceae : Engelmannia A. Gray ex Nutt.","CO-NM","Rare"
"andrena torulosa","","Limnanthes R. Br.","CA-OR","Rare"
"andrena trimaculata","Asteraceae","Asteraceae : Helianthus L.","AZ-NM","Rare"
"andrena trizonata","","Salix L.","CA-CO-ID-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"andrena utahensis","Asteraceae","Asteraceae : Coreopsis L. , Enceliopsis (A. Gray) A. Nelson , Geraea Torr. & A. Gray , Hymenopappus L'Hér.","AZ-CO-NM-NV-UT","Uncommon-Rare"
"andrena vanduzeei","","Gayophytum A. Juss.","CA","Rare"
"andrena vandykei","","Arctostaphylos Adans.","CA-OR","Rare"
"andrena verbesinae","Asteraceae","Asteraceae : Grindelia Willd. , Heliomeris Nutt. , Verbesina L.","NM-UT","Rare"
"andrena vespertina","","Camissonia Link","CA","Rare"
"andrena violae","","Viola L.","CO","Rare"
"andrena vulpicolor","Asteraceae","Asteraceae : Chrysothamnus Nutt. , Ericameria Nutt. , Heliomeris Nutt. , Heterotheca Cass. , Senecio L. , Viguiera Kunth","AZ-CA-CO-ID-NM-NV-OR-UT-WY","Uncommon"
"andrena wellesleyana","","Salix L.","CO-UT-WY","Uncommon-Rare"
"andrena winnemuccana","Brassicaceae","Brassicaceae : Caulanthus S. Watson , Guillenia Greene , Thelypodium Endl.","NV-OR","Rare"
"andrena xanthigera","Asteraceae","Asteraceae : Haplopappus Cass.","AZ-CO-NM-UT","Uncommon-Rare"
"andrena ziziae","","Zizia W.D.J. Koch","CA-CO-NM-UT","Rare"
"andrena ziziaeformis","","Potentilla L. , Waldsteinia Willd.","UT","Rare"
"anthidium atripes","Fabaceae","Fabaceae : Astragalus L. , Lotus L.","AZ-CA-CO-ID-NM-NV-OR-UT","Rare"
"anthidium clypeodentatum","Fabaceae","Fabaceae : Astragalus L. , Lotus L.","AZ-CA-CO-ID-MT-UT-WA-WY","Rare"
"anthidium dammersi","Fabaceae","Fabaceae : Astragalus L.","AZ-CA-NM-NV-UT-WY","Rare"
"anthidium emarginatum","","Phacelia Juss.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"anthidium mormonum","","Lotus L. , Phacelia Juss.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"anthidium pallidiclypeum","Fabaceae","Fabaceae : Lotus L.","AZ-CA-NV","Rare"
"anthidium palmarum","","Phacelia Juss.","AZ-CA-NM-NV-OR-UT","Uncommon-Rare"
"anthidium psoraleae","Fabaceae","Fabaceae","AZ-CO-NM","Rare"
"anthidium tenuiflorae","Fabaceae","Fabaceae : Astragalus L. , Lotus L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"anthidium utahense","Fabaceae","Fabaceae : Lotus L.","AZ-CA-CO-ID-MT-NV-OR-UT-WA-WY","Uncommon-Rare"
"anthophora abroniae","","Abronia Juss.","AZ-CA-NV","Rare"
"anthophora affabilis","","Oenothera L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"anthophora cockerelli","Capparaceae","Capparaceae : Cleome L. , Cleomella DC. , Oxystylis Torr. & Frém. , Wislizenia Engelm.","CA-NV-UT","Rare"
