"canonical_name","host_plant_family","host_plant_detail","host_states","fowler_status"
"dianthidium singulare","Asteraceae","Asteraceae : Chaenactis DC. , Cirsium Mill. , Erigeron L. , Solidago L.","AZ-CA-ID-NV-UT","Rare"
"dianthidium subparvum","Asteraceae","Asteraceae : Agoseris Raf. , Chaenactis DC. , Chrysothamnus Nutt. , Cirsium Mill. , Corethrogyne DC. , Encelia Adans. , Erigeron L. , Grindelia Willd. , Gutierrezia Lag. , Haplopappus Cass. , Helianthus L. , Heliomeris Nutt. , Machaeranthera Nees , Pentachaeta Nutt. , Palafoxia Lag. , Pyrrocoma Hook. , Solidago L. , Stephanomeria Nutt. , Viguiera Kunth","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"dianthidium ulkei","Asteraceae","Asteraceae : Achillea L. , Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Cirsium Mill. , Encelia Adans. , Ericameria Nutt. , Erigeron L. , Grindelia Willd. , Gutierrezia Lag. , Haplopappus Cass. , Helenium L. , Helianthus L. , Heterotheca Cass. , Hulsea Torr. & A. Gray , Lessingia Cham. , Machaeranthera Nees , Pentachaeta Nutt. , Solidago L. , Stephanomeria Nutt. , Symphyotrichum Nees , Verbesina L.","AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY","Uncommon-Rare"
"dieunomia heteropoda","Asteraceae","Asteraceae : Bidens L. , Coreopsis L. , Helianthus L. , Silphium L. , Solidago L. , Verbesina L.","AZ-CA-CO-NM-NV-UT","Uncommon-Rare"
"dieunomia nevadensis","Asteraceae","Asteraceae : Baccharis L. , Baileya Harv. & A. Gray ex A. Gray , Chrysothamnus Nutt. , Gaillardia Foug. , Grindelia Willd. , Gutierrezia Lag. , Helianthus L. , Heterotheca Cass. , Pectis L. , Verbesina L.","AZ-CA-CO-NM-NV-OR-UT-WY","Uncommon"
"dieunomia triangulifera","","Helianthus L.","CO-NM-UT","Rare"
"dufourea afasciata","","Trifolium L.","CA-OR","Rare"
"dufourea boregoensis","","Camissonia Link","AZ-CA","Rare"
"dufourea calochorti","","Calochortus Pursh","CA-OR-WA","Rare"
"dufourea campanulae","","Campanula L.","CA-OR-WA","Rare"
"dufourea cuprea","","Gilia Ruiz & Pav. , Nemophila Nutt.","CA-OR","Rare"
"dufourea davidsoni","","Gayophytum A. Juss.","CA","Rare"
"dufourea dentipes","","Calochortus Pursh","CA-ID","Rare"
"dufourea echinocacti","","Echinocactus Link & Otto , Ferocactus Britton & Rose","CA","Rare"
"dufourea femorata","","Gilia Ruiz & Pav.","AZ-CA","Rare"
"dufourea fimbriata","","Potentilla L.","CA-CO-UT-WY","Rare"
"dufourea gilia","","Gilia Ruiz & Pav.","CA","Rare"
"dufourea holocyanea","","Symphoricarpos Duham.","CA-MT-OR-WA","Rare"
"dufourea latifrons","","Camissonia Link","CA","Rare"
"dufourea linanthi","","Linanthus Benth.","CA","Rare"
